ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,vol_90_threshold,high_vol,pass_level1,pass_level2
022572.OF,汇添富弘达回报A,混合型,混合型-偏股,4.64,6.4,23.19,12.92,8.15,1.64,357,185.0,96.47374472978152,95.0,98.20130118637582,96.1,24.075,False,True,True
023925.OF,永赢价值发现慧选C,混合型,混合型-偏股,3.85,7.84,26.15,14.78,10.07,1.63,366,128.0,97.5661172863166,53.0,99.00497512437812,96.1,24.075,False,True,True
022573.OF,汇添富弘达回报C,混合型,混合型-偏股,4.62,6.35,23.1,12.92,8.16,1.63,357,188.0,96.4162514373323,96.0,98.18216609261384,96.0,24.075,False,True,True
022149.OF,诺安价值增长D,混合型,混合型-偏股,6.92,6.56,27.09,16.33,10.54,1.54,455,172.0,96.72288233039478,40.0,99.25373134328358,94.9,24.075,False,True,True
022148.OF,诺安价值增长C,混合型,混合型-偏股,6.89,6.51,26.98,16.33,10.54,1.53,455,176.0,96.64622460712916,43.0,99.19632606199772,94.8,24.075,False,True,True
024499.OF,兴华景和A,混合型,混合型-偏股,3.59,5.74,19.19,11.75,7.91,1.46,327,217.0,95.86048294365658,161.0,96.93838499808648,94.1,24.075,False,True,True
024500.OF,兴华景和C,混合型,混合型-偏股,3.57,5.69,19.09,11.75,7.93,1.45,327,219.0,95.82215408202376,164.0,96.8809797168006,94.0,24.075,False,True,True
017667.OF,鹏华新材料A,混合型,混合型-偏股,3.43,3.32,22.4,14.32,9.6,1.42,455,442.0,91.5484860099655,100.0,98.105625717566,93.9,24.075,False,True,True
015211.OF,招商安鼎平衡1年持有A,混合型,混合型-偏股,3.95,3.47,17.86,10.94,8.29,1.45,455,413.0,92.10425450364124,210.0,96.00076540375048,93.9,24.075,False,True,True
017668.OF,鹏华新材料C,混合型,混合型-偏股,3.39,3.26,22.26,14.32,9.64,1.41,455,449.0,91.41433499425068,102.0,98.0673555300421,93.8,24.075,False,True,True
015212.OF,招商安鼎平衡1年持有C,混合型,混合型-偏股,3.91,3.39,17.7,10.92,8.32,1.44,455,428.0,91.81678804139516,218.0,95.8476846536548,93.8,24.075,False,True,True
019205.OF,鹏华优质企业C,混合型,混合型-偏股,5.79,8.47,33.37,19.85,12.82,1.58,455,101.0,98.08355691835952,14.0,99.75124378109452,93.6,24.075,False,True,True
018460.OF,大成新锐产业C,混合型,混合型-偏股,6.42,9.27,30.75,18.33,13.55,1.57,455,75.0,98.58183211958604,24.0,99.55989284347493,93.0,24.075,False,True,True
018656.OF,新华行业周期轮换C,混合型,混合型-偏股,3.68,6.44,33.48,20.51,13.29,1.54,455,184.0,96.49290916059792,13.0,99.77037887485648,92.6,24.075,False,True,True
012816.OF,国泰致和A,混合型,混合型-偏股,6.62,10.44,23.4,14.47,12.23,1.48,455,65.0,98.7734764277501,91.0,98.27784156142366,92.4,24.075,False,True,True
012817.OF,国泰致和C,混合型,混合型-偏股,6.6,10.39,23.31,14.46,12.25,1.47,455,66.0,98.75431199693368,93.0,98.23957137389974,92.3,24.075,False,True,True
013274.OF,长城优化升级C,混合型,混合型-偏股,11.2,21.1,35.46,19.61,16.39,1.71,455,9.0,99.84668455346876,9.0,99.84691924990432,92.3,24.075,False,True,True
021145.OF,银华甄选价值成长A,混合型,混合型-偏股,7.3,15.91,27.91,18.46,13.1,1.4,455,26.0,99.52088922958988,32.0,99.40681209337926,91.6,24.075,False,True,True
021146.OF,银华甄选价值成长C,混合型,混合型-偏股,7.28,15.85,27.81,18.45,13.13,1.4,455,27.0,99.50172479877348,34.0,99.36854190585534,91.6,24.075,False,True,True
015722.OF,长城中小盘成长C,混合型,混合型-偏股,11.75,19.44,33.36,19.53,15.92,1.61,455,12.0,99.78919126101955,15.0,99.73210868733256,91.6,24.075,False,True,True
022269.OF,中信保诚周期优选A,混合型,混合型-偏股,4.62,5.55,25.48,18.49,11.45,1.27,455,227.0,95.66883863549252,60.0,98.8710294680444,91.4,24.075,False,True,True
022270.OF,中信保诚周期优选C,混合型,混合型-偏股,4.58,5.48,25.34,18.48,11.47,1.26,455,231.0,95.59218091222692,63.0,98.81362418675852,91.3,24.075,False,True,True
015945.OF,易方达国防军工C,混合型,混合型-偏股,3.94,1.85,25.97,18.72,11.86,1.28,455,713.0,86.35492525871982,56.0,98.94756984309224,91.2,24.075,False,True,True
018918.OF,华夏清洁能源龙头A,混合型,混合型-偏股,12.94,16.04,39.14,22.5,15.66,1.65,455,24.0,99.55921809122268,5.0,99.92345962495216,91.0,24.075,False,True,True
022416.OF,汇添富弘盛回报A,混合型,混合型-偏股,9.43,5.98,31.12,20.48,14.02,1.42,349,198.0,96.22460712916826,21.0,99.6172981247608,90.9,24.075,False,True,True
022417.OF,汇添富弘盛回报C,混合型,混合型-偏股,9.41,5.95,31.04,20.49,14.03,1.42,349,202.0,96.14794940590264,22.0,99.59816303099883,90.9,24.075,False,True,True
018919.OF,华夏清洁能源龙头C,混合型,混合型-偏股,12.91,15.97,38.98,22.49,15.71,1.64,455,25.0,99.54005366040629,6.0,99.9043245311902,90.9,24.075,False,True,True
013285.OF,上银价值增长3个月持有C,混合型,混合型-偏股,2.78,2.7,15.4,11.5,6.45,1.17,455,529.0,89.88118052893829,318.0,93.93417527745886,90.8,24.075,False,True,True
013284.OF,上银价值增长3个月持有A,混合型,混合型-偏股,2.8,2.74,15.47,11.5,6.45,1.17,455,518.0,90.09198926791876,315.0,93.99158055874472,90.8,24.075,False,True,True
011566.OF,富国美丽中国C,混合型,混合型-偏股,1.57,7.64,15.26,10.92,8.0,1.21,455,136.0,97.41280183978536,324.0,93.8193647148871,90.7,24.075,False,True,True
011565.OF,富国周期优势C,混合型,混合型-偏股,2.84,3.71,22.95,17.62,11.36,1.19,455,377.0,92.79417401303182,97.0,98.1630309988519,90.6,24.075,False,True,True
021636.OF,长城周期优选A,混合型,混合型-偏股,3.09,8.06,32.81,22.58,12.42,1.36,455,122.0,97.68110387121504,18.0,99.67470340604667,90.4,24.075,False,True,True
021637.OF,长城周期优选C,混合型,混合型-偏股,2.99,7.92,32.57,22.56,12.46,1.35,455,124.0,97.64277500958222,19.0,99.65556831228471,90.3,24.075,False,True,True
019157.OF,易方达全球配置美元现汇A,混合型,混合型-偏股,4.25,7.81,17.76,14.24,9.28,1.11,444,129.0,97.5469528555002,216.0,95.88595484117872,90.1,24.075,False,True,True
021642.OF,富国资源精选A,混合型,混合型-偏股,3.82,7.56,23.66,17.62,12.44,1.23,455,137.0,97.39363740896896,86.0,98.37351703023344,89.7,24.075,False,True,True
019278.OF,长城国企优选C,混合型,混合型-偏股,3.35,4.79,16.88,13.46,9.05,1.11,455,287.0,94.51897278650824,240.0,95.4267125908917,89.7,24.075,False,True,True
019158.OF,易方达全球配置美元现汇C,混合型,混合型-偏股,4.16,7.7,17.59,14.25,9.28,1.09,444,135.0,97.43196627060176,220.0,95.80941446613087,89.7,24.075,False,True,True
022167.OF,富国资源精选C,混合型,混合型-偏股,3.79,7.51,23.56,17.62,12.47,1.22,455,139.0,97.35530854733614,88.0,98.33524684270954,89.5,24.075,False,True,True
020151.OF,中信保诚景气优选A,混合型,混合型-偏股,0.48,3.07,14.63,11.3,7.97,1.12,455,470.0,91.01188194710616,387.0,92.61385380788366,89.3,24.075,False,True,True
019277.OF,长城国企优选A,混合型,混合型-偏股,3.02,4.49,16.58,13.44,9.02,1.08,455,304.0,94.19317746262936,253.0,95.17795637198624,89.3,24.075,False,True,True
018038.OF,富国融裕两年持有A,混合型,混合型-偏股,3.77,7.15,21.37,14.11,13.05,1.37,455,151.0,97.12533537753929,118.0,97.76119402985076,89.3,24.075,False,True,True
015985.OF,金鹰碳中和C,混合型,混合型-偏股,9.19,12.09,24.4,17.78,13.11,1.26,450,48.0,99.09927175162898,81.0,98.46919249904325,89.3,24.075,False,True,True
018039.OF,富国融裕两年持有C,混合型,混合型-偏股,3.73,7.1,21.27,14.1,13.07,1.37,455,154.0,97.06784208509008,119.0,97.74205893608878,89.2,24.075,False,True,True
011346.OF,淳厚鑫淳一年持有,混合型,混合型-偏股,4.98,2.75,22.57,18.84,11.54,1.09,455,512.0,90.20697585281717,98.0,98.14389590508992,89.2,24.075,False,True,True
018220.OF,广发品质优选A,混合型,混合型-偏股,1.57,4.87,28.88,21.05,14.14,1.28,455,275.0,94.74894595630508,28.0,99.4833524684271,89.1,24.075,False,True,True
018221.OF,广发品质优选C,混合型,混合型-偏股,1.6,4.87,28.83,21.05,14.16,1.27,455,274.0,94.76811038712152,29.0,99.46421737466513,89.0,24.075,False,True,True
020152.OF,中信保诚景气优选C,混合型,混合型-偏股,0.44,3.0,14.49,11.3,8.02,1.11,455,475.0,90.91605979302416,392.0,92.51817833907388,89.0,24.075,False,True,True
011888.OF,民生加银周期优选A,混合型,混合型-偏股,5.54,6.96,25.23,18.71,13.66,1.24,455,160.0,96.95285550019165,67.0,98.73708381171068,88.7,24.075,False,True,True
023449.OF,上银资源精选C,混合型,混合型-偏股,3.95,4.89,23.63,21.44,10.75,1.01,358,272.0,94.80643924875432,87.0,98.3543819364715,88.6,24.075,False,True,True
023448.OF,上银资源精选A,混合型,混合型-偏股,3.99,4.94,23.74,21.45,10.75,1.01,358,264.0,94.95975469528555,84.0,98.41178721775736,88.6,24.075,False,True,True
013845.OF,中信建投睿选6个月持有C,混合型,混合型-偏股,4.35,10.71,19.77,14.39,11.98,1.23,444,60.0,98.86929858183213,147.0,97.20627631075392,88.6,24.075,False,True,True
013844.OF,中信建投睿选6个月持有A,混合型,混合型-偏股,4.32,10.6,19.7,14.39,11.98,1.23,444,63.0,98.8118052893829,152.0,97.11060084194412,88.6,24.075,False,True,True
011889.OF,民生加银周期优选C,混合型,混合型-偏股,5.51,6.91,25.13,18.71,13.68,1.24,455,162.0,96.91452663855884,69.0,98.69881362418676,88.6,24.075,False,True,True
015984.OF,金鹰碳中和A,混合型,混合型-偏股,9.19,12.11,24.47,17.96,13.78,1.25,450,47.0,99.11843618244538,80.0,98.4883275928052,88.3,24.075,False,True,True
013674.OF,长城价值甄选一年持有A,混合型,混合型-偏股,2.45,4.94,27.2,23.15,11.84,1.09,455,265.0,94.94059026446917,39.0,99.27286643704554,87.8,24.075,False,True,True
013675.OF,长城价值甄选一年持有C,混合型,混合型-偏股,2.39,4.85,27.0,23.14,11.93,1.08,455,280.0,94.65312380222308,42.0,99.21546115575968,87.7,24.075,False,True,True
014109.OF,融通内需驱动C,混合型,混合型-偏股,0.94,1.02,15.56,13.57,9.05,1.0,454,996.0,80.93139133767727,310.0,94.08725602755452,87.7,24.075,False,True,True
018440.OF,汇添富量化选股A,混合型,混合型-偏股,1.49,1.71,14.48,10.91,9.86,1.14,455,749.0,85.66500574932925,394.0,92.47990815154994,87.6,24.075,False,True,True
025326.OF,银华嘉瑞平衡A,混合型,混合型-偏股,4.4,6.71,13.09,11.86,2.98,0.94,61,166.0,96.8378689152932,505.0,90.35591274397244,87.4,24.075,False,True,True
018441.OF,汇添富量化选股C,混合型,混合型-偏股,1.45,1.65,14.36,10.9,9.89,1.13,455,763.0,85.39670371789958,401.0,92.34596249521624,87.4,24.075,False,True,True
013554.OF,信澳远见价值A,混合型,混合型-偏股,1.16,1.08,16.44,14.47,10.2,1.0,455,977.0,81.29551552318897,257.0,95.1014159969384,87.2,24.075,False,True,True
014718.OF,富国天旭均衡A,混合型,混合型-偏股,4.03,6.99,19.62,13.96,13.19,1.26,455,158.0,96.99118436182444,156.0,97.03406046689628,87.2,24.075,False,True,True
014347.OF,富国趋势优先A,混合型,混合型-偏股,4.24,6.74,19.03,13.77,12.88,1.24,455,165.0,96.85703334610962,165.0,96.86184462303864,87.2,24.075,False,True,True
013033.OF,泰信智选量化选股A,混合型,混合型-偏股,-0.3,2.29,14.14,11.71,8.95,1.04,325,603.0,88.46301264852434,414.0,92.09720627631074,87.1,24.075,False,True,True
014719.OF,富国天旭均衡C,混合型,混合型-偏股,4.0,6.92,19.48,13.96,13.2,1.25,455,161.0,96.93369106937524,159.0,96.9766551856104,87.0,24.075,False,True,True
014348.OF,富国趋势优先C,混合型,混合型-偏股,4.19,6.67,18.88,13.76,12.9,1.23,455,168.0,96.7995400536604,168.0,96.80443934175278,87.0,24.075,False,True,True
025327.OF,银华嘉瑞平衡C,混合型,混合型-偏股,4.37,6.65,12.91,11.86,2.99,0.92,61,170.0,96.7612111920276,519.0,90.088021431305,86.9,24.075,False,True,True
013034.OF,泰信智选量化选股C,混合型,混合型-偏股,-0.32,2.24,14.05,11.71,9.0,1.03,325,613.0,88.27136834036028,419.0,92.00153080750096,86.9,24.075,False,True,True
017090.OF,景顺长城能源基建C,混合型,混合型-偏股,1.52,5.98,14.38,12.72,8.31,0.97,455,199.0,96.20544269835186,398.0,92.40336777650212,86.9,24.075,False,True,True
013555.OF,信澳远见价值C,混合型,混合型-偏股,1.11,1.01,16.31,14.46,10.23,0.99,455,1000.0,80.85473361441166,260.0,95.0440107156525,86.9,24.075,False,True,True
019337.OF,万家国企动力C,混合型,混合型-偏股,3.56,7.85,24.15,20.89,13.21,1.06,455,127.0,97.585281717133,83.0,98.43092231151932,86.7,24.075,False,True,True
019336.OF,万家国企动力A,混合型,混合型-偏股,3.61,7.92,24.25,20.9,13.19,1.06,455,125.0,97.6236105787658,82.0,98.45005740528129,86.7,24.075,False,True,True
022237.OF,融通央企精选A,混合型,混合型-偏股,5.81,8.29,15.04,13.2,9.85,0.99,403,107.0,97.96857033346107,343.0,93.45579793340988,86.5,24.075,False,True,True
012454.OF,淳厚鑫悦商业模式优选A,混合型,混合型-偏股,4.56,2.79,25.27,21.76,13.51,1.07,455,501.0,90.41778459179764,64.0,98.79448909299656,86.4,24.075,False,True,True
014224.OF,大成聚优成长A,混合型,混合型-偏股,4.79,5.67,25.84,20.0,15.21,1.19,455,222.0,95.76466078957456,57.0,98.92843474933028,86.3,24.075,False,True,True
025216.OF,永赢资源慧选A,混合型,混合型-偏股,2.93,5.38,22.04,22.58,10.07,0.89,220,240.0,95.41970103487928,103.0,98.04822043628016,86.2,24.075,False,True,True
019155.OF,易方达全球配置A,混合型,混合型-偏股,3.54,6.22,15.21,14.24,8.91,0.93,444,192.0,96.3395937140667,328.0,93.74282433983927,86.2,24.075,False,True,True
012455.OF,淳厚鑫悦商业模式优选C,混合型,混合型-偏股,4.53,2.72,25.13,21.76,13.51,1.06,455,526.0,89.93867382138751,70.0,98.6796785304248,86.2,24.075,False,True,True
022238.OF,融通央企精选C,混合型,混合型-偏股,5.79,8.23,14.94,13.19,9.9,0.98,403,110.0,97.91107704101188,355.0,93.22617680826636,86.1,24.075,False,True,True
025217.OF,永赢资源慧选C,混合型,混合型-偏股,2.89,5.31,21.87,22.58,10.08,0.88,220,243.0,95.36220774243004,106.0,97.99081515499428,85.9,24.075,False,True,True
019156.OF,易方达全球配置C,混合型,混合型-偏股,3.49,6.14,15.09,14.22,8.93,0.92,444,193.0,96.32042928325028,336.0,93.5897435897436,85.9,24.075,False,True,True
015173.OF,申万菱信竞争优势C,混合型,混合型-偏股,1.18,5.57,14.09,12.67,8.8,0.95,455,226.0,95.68800306630894,416.0,92.05893608878684,85.8,24.075,False,True,True
014225.OF,大成聚优成长C,混合型,混合型-偏股,4.77,5.62,25.23,19.95,15.22,1.16,455,224.0,95.72633192794174,66.0,98.75621890547264,85.8,24.075,False,True,True
025542.OF,华夏行业景气C,混合型,混合型-偏股,2.05,2.76,16.61,16.63,9.53,0.88,166,509.0,90.26446914526636,252.0,95.1970914657482,85.6,24.075,False,True,True
014057.OF,富国金安均衡精选A,混合型,混合型-偏股,3.74,5.93,18.17,14.0,13.08,1.15,455,204.0,96.10962054426984,195.0,96.28779181017988,85.6,24.075,False,True,True
018553.OF,景顺长城中小盘C,混合型,混合型-偏股,4.74,7.94,19.55,15.24,13.61,1.15,455,123.0,97.6619394403986,157.0,97.01492537313432,85.5,24.075,False,True,True
016676.OF,南方君誉A,混合型,混合型-偏股,5.32,5.79,14.95,11.89,11.37,1.09,455,213.0,95.9371406669222,353.0,93.26444699579028,85.4,24.075,False,True,True
014058.OF,富国金安均衡精选C,混合型,混合型-偏股,3.7,5.85,18.03,14.0,13.09,1.14,455,209.0,96.01379839018782,200.0,96.19211634137008,85.4,24.075,False,True,True
011011.OF,融通产业趋势精选A,混合型,混合型-偏股,3.31,5.53,24.86,19.02,15.75,1.2,454,228.0,95.64967420467612,75.0,98.584003061615,85.4,24.075,False,True,True
018751.OF,山证资管精选行业C,混合型,混合型-偏股,7.58,6.86,33.75,21.48,19.7,1.48,455,163.0,96.89536220774244,11.0,99.8086490623804,85.3,24.075,False,True,True
019194.OF,融通产业趋势精选C,混合型,混合型-偏股,3.27,5.46,24.73,19.01,15.77,1.2,454,235.0,95.51552318896128,77.0,98.54573287409109,85.3,24.075,False,True,True
016677.OF,南方君誉C,混合型,混合型-偏股,5.29,5.72,14.81,11.88,11.39,1.08,455,218.0,95.84131851284016,366.0,93.0156907768848,85.2,24.075,False,True,True
015458.OF,天弘周期策略C,混合型,混合型-偏股,4.0,3.63,16.74,14.21,12.12,1.04,454,390.0,92.54503641241854,248.0,95.27363184079604,85.0,24.075,False,True,True
017835.OF,信澳匠心回报A,混合型,混合型-偏股,4.33,4.07,17.16,18.09,10.13,0.84,455,341.0,93.48409352242238,231.0,95.59892843474933,84.5,24.075,False,True,True
017836.OF,信澳匠心回报C,混合型,混合型-偏股,4.29,4.0,17.02,18.08,10.16,0.83,455,347.0,93.36910693752397,236.0,95.50325296593954,84.2,24.075,False,True,True
015566.OF,万家精选C,混合型,混合型-偏股,5.38,11.43,18.0,17.63,11.71,0.91,455,52.0,99.02261402836336,202.0,96.15384615384616,84.0,24.075,False,True,True
011251.OF,华安聚嘉精选A,混合型,混合型-偏股,3.2,3.8,15.02,14.33,10.57,0.91,455,364.0,93.04331161364507,348.0,93.36012246460008,83.9,24.075,False,True,True
025447.OF,万家元晟量化选股A,混合型,混合型-偏股,-0.96,2.06,14.88,15.45,9.1,0.83,183,657.0,87.4281333844385,363.0,93.07309605817068,83.7,24.075,False,True,True
021973.OF,天弘优势企业A,混合型,混合型-偏股,3.99,2.0,16.17,14.56,12.12,0.97,454,674.0,87.1023380605596,267.0,94.9100650593188,83.7,24.075,False,True,True
025448.OF,万家元晟量化选股C,混合型,混合型-偏股,-1.0,2.01,14.76,15.45,9.14,0.83,183,669.0,87.19816021464163,375.0,92.84347493302715,83.6,24.075,False,True,True
018750.OF,山证资管精选行业A,混合型,混合型-偏股,7.46,5.97,32.36,21.52,20.21,1.41,455,200.0,96.18627826753546,20.0,99.63643321852275,83.6,24.075,False,True,True
013812.OF,景顺长城景气进取A,混合型,混合型-偏股,4.41,7.12,18.74,15.36,14.37,1.09,455,153.0,97.08700651590648,173.0,96.70876387294298,83.6,24.075,False,True,True
011128.OF,华安精致生活A,混合型,混合型-偏股,3.35,4.1,14.8,14.28,10.5,0.9,455,334.0,93.61824453813722,367.0,92.99655568312284,83.6,24.075,False,True,True
024640.OF,中欧化工产业A,混合型,混合型-偏股,3.44,3.2,18.31,21.32,9.87,0.77,237,458.0,91.24185511690304,190.0,96.38346727898968,83.5,24.075,False,True,True
015769.OF,天弘低碳经济A,混合型,混合型-偏股,4.23,2.41,16.82,14.92,12.88,0.99,454,588.0,88.75047911077041,243.0,95.36930730960582,83.5,24.075,False,True,True
011252.OF,华安聚嘉精选C,混合型,混合型-偏股,3.15,3.71,14.87,14.32,10.6,0.9,455,375.0,92.83250287466464,364.0,93.05396096440872,83.5,24.075,False,True,True
021974.OF,天弘优势企业C,混合型,混合型-偏股,3.95,1.92,16.03,14.55,12.14,0.96,454,697.0,86.66155615178229,279.0,94.68044393417529,83.4,24.075,False,True,True
015770.OF,天弘低碳经济C,混合型,混合型-偏股,4.2,2.36,16.72,14.92,12.89,0.99,454,596.0,88.59716366423918,250.0,95.2353616532721,83.4,24.075,False,True,True
013813.OF,景顺长城景气进取C,混合型,混合型-偏股,4.37,7.04,18.6,15.36,14.41,1.08,455,156.0,97.02951322345726,178.0,96.61308840413318,83.4,24.075,False,True,True
012520.OF,大成核心趋势C,混合型,混合型-偏股,1.53,2.76,23.44,20.16,15.77,1.06,455,510.0,90.24530471445,90.0,98.2969766551856,83.4,24.075,False,True,True
012519.OF,大成核心趋势A,混合型,混合型-偏股,1.54,2.78,23.47,20.16,15.77,1.06,455,508.0,90.2836335760828,89.0,98.31611174894756,83.4,24.075,False,True,True
019820.OF,鹏华远见精选A,混合型,混合型-偏股,8.59,11.32,26.9,23.08,15.82,1.08,455,54.0,98.98428516673054,45.0,99.1580558744738,83.3,24.075,False,True,True
011129.OF,华安精致生活C,混合型,混合型-偏股,3.29,4.01,14.65,14.27,10.52,0.89,455,345.0,93.40743579915676,384.0,92.67125908916954,83.3,24.075,False,True,True
