ts_code,name,invest_type,category
026161.OF,招商安琪A,债券型,债券型-主动
025797.OF,国泰多资产稳健甄选3个月持有C,混合型,混合型-偏股
025796.OF,国泰多资产稳健甄选3个月持有A,混合型,混合型-偏股
026317.OF,广发弘利3个月滚动持有C,债券型,债券型-主动
026049.OF,华夏卓安A,债券型,债券型-主动
026064.OF,苏新苏匠A,债券型,债券型-主动
026050.OF,华夏卓安C,债券型,债券型-主动
025977.OF,大摩添益A,债券型,债券型-主动
025752.OF,招商均衡配置A,混合型,混合型-偏股
025978.OF,大摩添益C,债券型,债券型-主动
026140.OF,财信芙璟A,混合型,混合型-偏股
025753.OF,招商均衡配置C,混合型,混合型-偏股
026318.OF,广发昭利中短债A,债券型,债券型-主动
026141.OF,财信芙璟C,混合型,混合型-偏股
025716.OF,安联睿利6个月持有C,混合型,混合型-偏股
025788.OF,广发质量优选A,股票型,主动股票型
026069.OF,新华低碳经济C,混合型,混合型-偏股
025789.OF,广发质量优选C,股票型,主动股票型
023186.OF,国联安红利慧选A,混合型,混合型-偏股
025715.OF,安联睿利6个月持有A,混合型,混合型-偏股
026068.OF,新华低碳经济A,混合型,混合型-偏股
026319.OF,广发昭利中短债B,债券型,债券型-主动
026112.OF,建信智远多元配置3个月持有C,混合型,混合型-偏股
026320.OF,广发昭利中短债C,债券型,债券型-主动
026133.OF,鹏华睿和90天持有A,债券型,债券型-主动
026315.OF,广发多添利六个月持有C,债券型,债券型-主动
026134.OF,鹏华睿和90天持有C,债券型,债券型-主动
026314.OF,广发多添利六个月持有A,债券型,债券型-主动
025285.OF,京管泰富京信A,债券型,债券型-主动
026322.OF,广发乾利一年持有C,债券型,债券型-主动
025950.OF,鹏华易选稳健3个月持有A,混合型,混合型-偏股
026321.OF,广发乾利一年持有A,债券型,债券型-主动
025951.OF,鹏华易选稳健3个月持有C,混合型,混合型-偏股
022672.OF,平安产业竞争力C,混合型,混合型-偏股
026065.OF,苏新苏匠C,债券型,债券型-主动
025286.OF,京管泰富京信C,债券型,债券型-主动
024946.OF,国联稳健鑫益C,债券型,债券型-主动
026111.OF,建信智远多元配置3个月持有A,混合型,混合型-偏股
022673.OF,平安产业竞争力A,混合型,混合型-偏股
023187.OF,国联安红利慧选C,混合型,混合型-偏股
024945.OF,国联稳健鑫益A,债券型,债券型-主动
026032.OF,中欧稳达三个月滚动持有C,债券型,债券型-主动
026031.OF,中欧稳达三个月滚动持有A,债券型,债券型-主动
026035.OF,中欧稳达中短债A,债券型,债券型-主动
026036.OF,中欧稳达中短债C,债券型,债券型-主动
026342.OF,兴银长乐半年定期C,债券型,债券型-主动
024057.OF,宏利鼎森稳健3个月持有A,混合型,混合型-偏股
024058.OF,宏利鼎森稳健3个月持有C,混合型,混合型-偏股
025282.OF,富国稳健双景C,债券型,债券型-主动
026014.OF,广发新锐智选C,混合型,混合型-偏股
025281.OF,富国稳健双景A,债券型,债券型-主动
026038.OF,大成优享6个月持有C,混合型,混合型-偏股
026037.OF,大成优享6个月持有A,混合型,混合型-偏股
026099.OF,平安盈安3个月持有A,混合型,混合型-偏股
026100.OF,平安盈安3个月持有C,混合型,混合型-偏股
024129.OF,宏利嘉利C,债券型,债券型-主动
024128.OF,宏利嘉利A,债券型,债券型-主动
025740.OF,国泰利享鑫益90天持有C,债券型,债券型-主动
025739.OF,国泰利享鑫益90天持有A,债券型,债券型-主动
025135.OF,信澳丰享利率债C,债券型,债券型-主动
025134.OF,信澳丰享利率债A,债券型,债券型-主动
026219.OF,泰康金泰回报3个月持有C,混合型,混合型-偏股
026202.OF,上银丰泽A,混合型,混合型-偏股
026203.OF,上银丰泽C,混合型,混合型-偏股
025036.OF,国联多元配置3个月持有A,混合型,混合型-偏股
026003.OF,鹏安核心优选A,混合型,混合型-偏股
025957.OF,新华科技优选C,混合型,混合型-偏股
025255.OF,鹏扬港股通精选A,混合型,混合型-偏股
025439.OF,永赢启航慧选A,混合型,混合型-偏股
025956.OF,新华科技优选A,混合型,混合型-偏股
025995.OF,大成荣享A,混合型,混合型-偏股
025440.OF,永赢启航慧选C,混合型,混合型-偏股
025270.OF,浦银安盛稳健双利A,债券型,债券型-主动
025996.OF,大成荣享C,混合型,混合型-偏股
026039.OF,长信稳健添益A,债券型,债券型-主动
026021.OF,华夏增利一年持有A,债券型,债券型-主动
026022.OF,华夏增利一年持有C,债券型,债券型-主动
025256.OF,鹏扬港股通精选C,混合型,混合型-偏股
026040.OF,长信稳健添益C,债券型,债券型-主动
026090.OF,上银医疗创新C,混合型,混合型-偏股
025271.OF,浦银安盛稳健双利C,债券型,债券型-主动
025994.OF,银华盛安六个月持有C,混合型,混合型-偏股
026089.OF,上银医疗创新A,混合型,混合型-偏股
025993.OF,银华盛安六个月持有A,混合型,混合型-偏股
025659.OF,国金科创创业量化选股C,股票型,主动股票型
025310.OF,国泰海通招阳,混合型,混合型-偏股
025037.OF,国联多元配置3个月持有C,混合型,混合型-偏股
025658.OF,国金科创创业量化选股A,股票型,主动股票型
025581.OF,财通消费优选C,混合型,混合型-偏股
025580.OF,财通消费优选A,混合型,混合型-偏股
026004.OF,鹏安核心优选C,混合型,混合型-偏股
025743.OF,安信瑞安30天持有中短债C,债券型,债券型-主动
025742.OF,安信瑞安30天持有中短债B,债券型,债券型-主动
025741.OF,安信瑞安30天持有中短债A,债券型,债券型-主动
026033.OF,平安添元6个月持有A,债券型,债券型-主动
026034.OF,平安添元6个月持有C,债券型,债券型-主动
026210.OF,平安科技精选A,混合型,混合型-偏股
026211.OF,平安科技精选C,混合型,混合型-偏股
025853.OF,富国港股精选美元,混合型,混合型-偏股
025852.OF,富国港股精选,混合型,混合型-偏股
026290.OF,红土创新科技创新C,股票型,主动股票型
026293.OF,红土创新转型精选C,灵活配置型,混合型-平衡
025859.OF,民生加银多元稳健配置3个月持有C,混合型,混合型-偏股
026101.OF,前海开源康悦稳健养老一年持有Y,混合型,混合型-偏股
026157.OF,鑫元鑫选盈泰进取配置3个月持有C,混合型,混合型-偏股
026156.OF,鑫元鑫选盈泰进取配置3个月持有A,混合型,混合型-偏股
025858.OF,民生加银多元稳健配置3个月持有A,混合型,混合型-偏股
025563.OF,国富恒安30天持有A,债券型,债券型-主动
025914.OF,平安盈顺3个月持有C,混合型,混合型-偏股
025913.OF,平安盈顺3个月持有A,混合型,混合型-偏股
025702.OF,惠升均衡回报A,混合型,混合型-偏股
025703.OF,惠升均衡回报C,混合型,混合型-偏股
025991.OF,广发集辉A,债券型,债券型-主动
025992.OF,广发集辉C,债券型,债券型-主动
025265.OF,华商汇享多元配置3个月持有C,混合型,混合型-偏股
025264.OF,华商汇享多元配置3个月持有A,混合型,混合型-偏股
025964.OF,广发创新成长A,混合型,混合型-偏股
025321.OF,兴银裕安增利A,债券型,债券型-主动
025965.OF,广发创新成长C,混合型,混合型-偏股
025564.OF,国富恒安30天持有C,债券型,债券型-主动
025322.OF,兴银裕安增利C,债券型,债券型-主动
026010.OF,东财禧悦90天滚动持有中短债A,债券型,债券型-主动
025744.OF,安信瑞鸿中短债A,债券型,债券型-主动
026011.OF,东财禧悦90天滚动持有中短债C,债券型,债券型-主动
025887.OF,国联金如意3个月滚动持有A,债券型,债券型-主动
025888.OF,国联金如意3个月滚动持有C,债券型,债券型-主动
026249.OF,长城稳固收益D,债券型,债券型-主动
026008.OF,东财鑫享30天滚动持有中短债A,债券型,债券型-主动
025746.OF,安信瑞鸿中短债C,债券型,债券型-主动
025745.OF,安信瑞鸿中短债B,债券型,债券型-主动
026009.OF,东财鑫享30天滚动持有中短债C,债券型,债券型-主动
025889.OF,国联金如意双利一年持有A,债券型,债券型-主动
025890.OF,国联金如意双利一年持有B,债券型,债券型-主动
025891.OF,国联金如意双利一年持有C,债券型,债券型-主动
025828.OF,中欧多元平衡A,混合型,混合型-偏股
025829.OF,中欧多元平衡C,混合型,混合型-偏股
026241.OF,万家增强收益A,增强型,指数增强型
026078.OF,中航卓越领航A,混合型,混合型-偏股
026079.OF,中航卓越领航C,混合型,混合型-偏股
026105.OF,万家如意添瑞三个月持有A,混合型,混合型-偏股
025962.OF,永赢优选增强A,债券型,债券型-主动
026106.OF,万家如意添瑞三个月持有C,混合型,混合型-偏股
025963.OF,永赢优选增强C,债券型,债券型-主动
025927.OF,中信保诚医药精选C,混合型,混合型-偏股
025926.OF,中信保诚医药精选A,混合型,混合型-偏股
025813.OF,富国智恒稳健90天持有C,混合型,混合型-偏股
026245.OF,红土创新新兴产业C,灵活配置型,混合型-平衡
025812.OF,富国智恒稳健90天持有A,混合型,混合型-偏股
025674.OF,鑫元港股通领航A,混合型,混合型-偏股
025673.OF,鑫元港股通领航C,混合型,混合型-偏股
025184.OF,中银品质新兴A,混合型,混合型-偏股
025969.OF,建信科技智选C,股票型,主动股票型
025968.OF,建信科技智选A,股票型,主动股票型
024568.OF,财通资管通达稳鑫3个月持有型A,债券型,债券型-主动
025083.OF,摩根慧启成长C,混合型,混合型-偏股
025943.OF,财通泰和多资产一年持有,混合型,混合型-偏股
024151.OF,长城丰泽C,债券型,债券型-主动
026228.OF,富国全球科技互联网D,股票型,主动股票型
025082.OF,摩根慧启成长A,混合型,混合型-偏股
025871.OF,圆信永丰沪港深消费精选C,混合型,混合型-偏股
025904.OF,兴证资管恒睿致胜A,混合型,混合型-偏股
025185.OF,中银品质新兴C,混合型,混合型-偏股
024569.OF,财通资管通达稳鑫3个月持有型C,债券型,债券型-主动
025905.OF,兴证资管恒睿致胜C,混合型,混合型-偏股
024150.OF,长城丰泽A,债券型,债券型-主动
025870.OF,圆信永丰沪港深消费精选A,混合型,混合型-偏股
025898.OF,景顺长城和熙稳进三个月持有A,混合型,混合型-偏股
025899.OF,景顺长城和熙稳进三个月持有C,混合型,混合型-偏股
025223.OF,创金合信弘科C,混合型,混合型-偏股
025222.OF,创金合信弘科A,混合型,混合型-偏股
025731.OF,鹏华睿享180天持有C,债券型,债券型-主动
019655.OF,农银鑫享稳健养老目标一年持有Y,混合型,混合型-偏股
026225.OF,招商添兴6个月定开C,债券型,债券型-主动
025670.OF,信澳水星聚利中短债C,债券型,债券型-主动
025730.OF,鹏华睿享180天持有A,债券型,债券型-主动
026139.OF,汇安均衡优选C,混合型,混合型-偏股
025671.OF,信澳水星聚利中短债E,债券型,债券型-主动
025669.OF,信澳水星聚利中短债A,债券型,债券型-主动
026227.OF,恒越优势精选C,混合型,混合型-偏股
025847.OF,中海港股通睿选C,混合型,混合型-偏股
025838.OF,中海港股通睿选A,混合型,混合型-偏股
025393.OF,建信红利严选C,混合型,混合型-偏股
025392.OF,建信红利严选A,混合型,混合型-偏股
025573.OF,光大阳光A,混合型,混合型-偏股
025574.OF,光大阳光C,混合型,混合型-偏股
025575.OF,光大阳光D,混合型,混合型-偏股
025584.OF,光大阳光智造A,混合型,混合型-偏股
025566.OF,光大阳光价值30个月持有D,混合型,混合型-偏股
025559.OF,光大阳光启明星创新驱动主题C,混合型,混合型-偏股
025567.OF,光大阳光价值30个月持有E,混合型,混合型-偏股
025582.OF,光大阳光北斗星9个月持有A,债券型,债券型-主动
025585.OF,光大阳光智造C,混合型,混合型-偏股
025560.OF,光大阳光启明星创新驱动主题D,混合型,混合型-偏股
025586.OF,光大阳光智造D,混合型,混合型-偏股
025272.OF,中金恒宁A,债券型,债券型-主动
025569.OF,光大阳光稳健增长C,混合型,混合型-偏股
025568.OF,光大阳光稳健增长A,混合型,混合型-偏股
025273.OF,中金恒宁C,债券型,债券型-主动
026025.OF,华夏六个月滚动持有A,债券型,债券型-主动
024659.OF,国联价值均衡C,混合型,混合型-偏股
024658.OF,国联价值均衡A,混合型,混合型-偏股
025583.OF,光大阳光北斗星9个月持有C,债券型,债券型-主动
025533.OF,光大阳光优选一年持有A,混合型,混合型-偏股
025531.OF,光大阳光稳债中短债A,债券型,债券型-主动
025534.OF,光大阳光优选一年持有C,混合型,混合型-偏股
025532.OF,光大阳光稳债中短债C,债券型,债券型-主动
025558.OF,光大阳光启明星创新驱动主题A,混合型,混合型-偏股
026026.OF,华夏六个月滚动持有C,债券型,债券型-主动
025535.OF,光大阳光优选一年持有D,混合型,混合型-偏股
025536.OF,光大阳光优选一年持有E,混合型,混合型-偏股
025845.OF,华安消费智选A,混合型,混合型-偏股
025540.OF,光大阳光优选一年持有F,混合型,混合型-偏股
025846.OF,华安消费智选C,混合型,混合型-偏股
025565.OF,光大阳光价值30个月持有A,混合型,混合型-偏股
024819.OF,中欧医药生物C,混合型,混合型-偏股
024818.OF,中欧医药生物A,混合型,混合型-偏股
025839.OF,恒生前海成长领航A,混合型,混合型-偏股
025587.OF,光大阳光香港精选A,混合型,混合型-偏股
025840.OF,恒生前海成长领航C,混合型,混合型-偏股
025589.OF,光大阳光香港精选C,混合型,混合型-偏股
025588.OF,光大阳光香港精选美元A,混合型,混合型-偏股
025101.OF,信澳鑫诚3个月持有A,债券型,债券型-主动
025694.OF,中银港股通消费精选A,混合型,混合型-偏股
025102.OF,信澳鑫诚3个月持有C,债券型,债券型-主动
025695.OF,中银港股通消费精选C,混合型,混合型-偏股
025736.OF,华西科技成长,股票型,主动股票型
026201.OF,诺安利鑫D,灵活配置型,混合型-平衡
025684.OF,易方达优势进取A,混合型,混合型-偏股
025685.OF,易方达优势进取C,混合型,混合型-偏股
025820.OF,银华多策略稳健三个月持有A,混合型,混合型-偏股
025821.OF,银华多策略稳健三个月持有C,混合型,混合型-偏股
025940.OF,浦银安盛港股通消费A,混合型,混合型-偏股
025941.OF,浦银安盛港股通消费C,混合型,混合型-偏股
023798.OF,西部利得双季享6个月持有A,债券型,债券型-主动
025903.OF,天弘盈悦稳健配置6个月持有C,混合型,混合型-偏股
025808.OF,浦银安盛盈鑫多元配置90天持有A,混合型,混合型-偏股
023799.OF,西部利得双季享6个月持有C,债券型,债券型-主动
025809.OF,浦银安盛盈鑫多元配置90天持有C,混合型,混合型-偏股
024995.OF,汇添富稳颐优选A,债券型,债券型-主动
025245.OF,国泰全景多资产配置3个月持有C,混合型,混合型-偏股
024996.OF,汇添富稳颐优选C,债券型,债券型-主动
025244.OF,国泰全景多资产配置3个月持有A,混合型,混合型-偏股
025902.OF,天弘盈悦稳健配置6个月持有A,混合型,混合型-偏股
025260.OF,华安沣泰A,债券型,债券型-主动
025261.OF,华安沣泰C,债券型,债券型-主动
025640.OF,国泰民安增利D,债券型,债券型-主动
026061.OF,国泰民安增利F,债券型,债券型-主动
025975.OF,前海联合弘利A,债券型,债券型-主动
025976.OF,前海联合弘利C,债券型,债券型-主动
025093.OF,天弘匠心回报C,债券型,债券型-主动
026126.OF,山证资管改革精选C,灵活配置型,混合型-平衡
026137.OF,山证资管策略精选C,灵活配置型,混合型-平衡
025934.OF,中欧价值裕享C,混合型,混合型-偏股
025933.OF,中欧价值裕享A,混合型,混合型-偏股
025909.OF,东方红欣恒稳健3个月持有A,混合型,混合型-偏股
026153.OF,国泰海通君得明C,混合型,混合型-偏股
025910.OF,东方红欣恒稳健3个月持有C,混合型,混合型-偏股
026155.OF,红土创新新科技C,股票型,主动股票型
026154.OF,红土创新医疗保健C,股票型,主动股票型
025092.OF,天弘匠心回报A,债券型,债券型-主动
026080.OF,鹏华创兴增利E,债券型,债券型-主动
023699.OF,长城元利C,债券型,债券型-主动
023698.OF,长城元利A,债券型,债券型-主动
025794.OF,中欧新能源主题A,混合型,混合型-偏股
025795.OF,中欧新能源主题C,混合型,混合型-偏股
025593.OF,国泰海通安泰三个月持有C,债券型,债券型-主动
025592.OF,国泰海通安泰三个月持有A,债券型,债券型-主动
025590.OF,国泰海通安润90天持有中短债A,债券型,债券型-主动
025591.OF,国泰海通安润90天持有中短债C,债券型,债券型-主动
025668.OF,申万菱信宁通六个月持有,混合型,混合型-偏股
025667.OF,银华鑫禾C,混合型,混合型-偏股
025666.OF,银华鑫禾A,混合型,混合型-偏股
025391.OF,平安港股通成长精选C,混合型,混合型-偏股
026087.OF,东方强化收益C,强化收益型,混合型-偏债
025823.OF,易方达如意盈安6个月持有C,混合型,混合型-偏股
025390.OF,平安港股通成长精选A,混合型,混合型-偏股
025319.OF,金元顺安乾丰稳健A,混合型,混合型-偏股
025918.OF,易方达科技先锋A,混合型,混合型-偏股
025822.OF,易方达如意盈安6个月持有A,混合型,混合型-偏股
025919.OF,易方达科技先锋C,混合型,混合型-偏股
024900.OF,西部利得专精特新量化选股A,混合型,混合型-偏股
024901.OF,西部利得专精特新量化选股C,混合型,混合型-偏股
025320.OF,金元顺安乾丰稳健C,混合型,混合型-偏股
025990.OF,中欧鑫悦回报一年持有C,混合型,混合型-偏股
025953.OF,交银远见成长C,混合型,混合型-偏股
025131.OF,银华聚享多元配置三个月持有A,混合型,混合型-偏股
025989.OF,中欧鑫悦回报一年持有A,混合型,混合型-偏股
025132.OF,银华聚享多元配置三个月持有C,混合型,混合型-偏股
025773.OF,中金丰裕稳健一年持有A,混合型,混合型-偏股
025774.OF,中金丰裕稳健一年持有C,混合型,混合型-偏股
025772.OF,中金安心回报C,混合型,混合型-偏股
025771.OF,中金安心回报A,混合型,混合型-偏股
026027.OF,财信30天持有A,债券型,债券型-主动
026028.OF,财信30天持有C,债券型,债券型-主动
025948.OF,交银远见成长A,混合型,混合型-偏股
025081.OF,前海开源裕泰3个月持有C,混合型,混合型-偏股
025080.OF,前海开源裕泰3个月持有A,混合型,混合型-偏股
025314.OF,交银臻享多资产三个月持有C,混合型,混合型-偏股
025313.OF,交银臻享多资产三个月持有A,混合型,混合型-偏股
025897.OF,国联汇富C,债券型,债券型-主动
025896.OF,国联汇富A,债券型,债券型-主动
026015.OF,宏利印度C,股票型,主动股票型
025714.OF,富国安元120天持有C,债券型,债券型-主动
025713.OF,富国安元120天持有A,债券型,债券型-主动
025814.OF,富国恒益3个月持有A,混合型,混合型-偏股
025924.OF,平安新能源精选C,混合型,混合型-偏股
025923.OF,平安新能源精选A,混合型,混合型-偏股
025688.OF,中金阿尔法优选A,混合型,混合型-偏股
025709.OF,汇添富价值驱动A,混合型,混合型-偏股
025815.OF,富国恒益3个月持有C,混合型,混合型-偏股
025689.OF,中金阿尔法优选C,混合型,混合型-偏股
025710.OF,汇添富价值驱动C,混合型,混合型-偏股
024841.OF,信澳高端装备A,混合型,混合型-偏股
025510.OF,富国智悦稳健90天持有C,混合型,混合型-偏股
024842.OF,信澳高端装备C,混合型,混合型-偏股
024294.OF,创金合信恒鑫60天滚动持有A,债券型,债券型-主动
024295.OF,创金合信恒鑫60天滚动持有C,债券型,债券型-主动
025509.OF,富国智悦稳健90天持有A,混合型,混合型-偏股
026017.OF,银华盛泓E,债券型,债券型-主动
025988.OF,鹏华创新未来A,混合型,混合型-偏股
025146.OF,华富裕诚一年持有A,债券型,债券型-主动
025142.OF,华富富泽六个月持有A,债券型,债券型-主动
025884.OF,东方城镇消费主题C,混合型,混合型-偏股
025147.OF,华富裕诚一年持有C,债券型,债券型-主动
025145.OF,华富安颐九个月持有C,债券型,债券型-主动
025144.OF,华富安颐九个月持有A,债券型,债券型-主动
025148.OF,华富裕诚一年持有D,债券型,债券型-主动
025143.OF,华富富泽六个月持有C,债券型,债券型-主动
025776.OF,鹏华启航量化选股,混合型,混合型-偏股
025760.OF,海富通聚优精选C,混合型,混合型-偏股
025717.OF,富国兴和A,混合型,混合型-偏股
025594.OF,国泰海通安裕中短债A,债券型,债券型-主动
023664.OF,中信保诚稳和利率债A,债券型,债券型-主动
025595.OF,国泰海通安裕中短债C,债券型,债券型-主动
024964.OF,南方多元价值一年持有A,混合型,混合型-偏股
025718.OF,富国兴和C,混合型,混合型-偏股
025600.OF,国泰海通海升六个月持有A,债券型,债券型-主动
025601.OF,国泰海通海升六个月持有C,债券型,债券型-主动
024965.OF,南方多元价值一年持有C,混合型,混合型-偏股
023665.OF,中信保诚稳和利率债C,债券型,债券型-主动
019437.OF,华商科创创业精选A,混合型,混合型-偏股
025511.OF,广发信息产业A,股票型,主动股票型
025405.OF,苏新睿见量化选股C,股票型,主动股票型
023464.OF,工银稳健丰裕30天持有C,债券型,债券型-主动
025386.OF,万家智胜量化选股A,股票型,主动股票型
024586.OF,中信建投稳鑫30天持有A,债券型,债券型-主动
025387.OF,万家智胜量化选股C,股票型,主动股票型
023576.OF,海富通稳鑫三个月持有C,债券型,债券型-主动
025283.OF,大成元享臻利A,债券型,债券型-主动
025555.OF,国富恒泽90天持有C,债券型,债券型-主动
025156.OF,华泰保兴兴元180天封闭A,债券型,债券型-主动
024673.OF,永赢价值回报C,混合型,混合型-偏股
025284.OF,大成元享臻利C,债券型,债券型-主动
025157.OF,华泰保兴兴元180天封闭C,债券型,债券型-主动
025824.OF,易方达产业优选A,混合型,混合型-偏股
023463.OF,工银稳健丰裕30天持有A,债券型,债券型-主动
025554.OF,国富恒泽90天持有A,债券型,债券型-主动
025657.OF,国金智远量化选股C,混合型,混合型-偏股
025942.OF,广发新动力C,混合型,混合型-偏股
025001.OF,国泰海通稳健泰裕C,债券型,债券型-主动
025000.OF,国泰海通稳健泰裕A,债券型,债券型-主动
023575.OF,海富通稳鑫三个月持有A,债券型,债券型-主动
025486.OF,中邮新锐量化选股A,混合型,混合型-偏股
025825.OF,易方达产业优选C,混合型,混合型-偏股
025404.OF,苏新睿见量化选股A,股票型,主动股票型
019438.OF,华商科创创业精选C,混合型,混合型-偏股
025487.OF,中邮新锐量化选股C,混合型,混合型-偏股
025656.OF,国金智远量化选股A,混合型,混合型-偏股
025085.OF,兴华安聚纯债D,债券型,债券型-主动
023678.OF,百嘉百达利率债C,债券型,债券型-主动
024587.OF,中信建投稳鑫30天持有C,债券型,债券型-主动
025512.OF,广发信息产业C,股票型,主动股票型
023677.OF,百嘉百达利率债A,债券型,债券型-主动
